id,base_date,base_time,target_date,target_time,city,city_x,city_y,forecast_temp
52,2021-06-18,11:00:00,2021-06-19,00:00:00,busan,98.0,76.0,21.0
53,2021-06-18,11:00:00,2021-06-19,00:00:00,chungbuk,69.0,107.0,19.0
54,2021-06-18,11:00:00,2021-06-19,00:00:00,chungnam,68.0,100.0,20.0
55,2021-06-18,11:00:00,2021-06-19,00:00:00,daegu,89.0,90.0,22.0
56,2021-06-18,11:00:00,2021-06-19,00:00:00,daejeon,67.0,100.0,21.0
57,2021-06-18,11:00:00,2021-06-19,00:00:00,gangwon,73.0,134.0,19.0
58,2021-06-18,11:00:00,2021-06-19,00:00:00,gwangju,58.0,74.0,21.0
59,2021-06-18,11:00:00,2021-06-19,00:00:00,gyeongbuk,89.0,91.0,21.0
60,2021-06-18,11:00:00,2021-06-19,00:00:00,gyeonggi,60.0,120.0,19.0
61,2021-06-18,11:00:00,2021-06-19,00:00:00,gyeongnam,91.0,77.0,21.0
62,2021-06-18,11:00:00,2021-06-19,00:00:00,incheon,55.0,124.0,18.0
63,2021-06-18,11:00:00,2021-06-19,00:00:00,jeju,52.0,38.0,21.0
64,2021-06-18,11:00:00,2021-06-19,00:00:00,jeonbuk,63.0,89.0,20.0
65,2021-06-18,11:00:00,2021-06-19,00:00:00,jeonnam,51.0,67.0,20.0
66,2021-06-18,11:00:00,2021-06-19,00:00:00,sejong,66.0,103.0,19.0
67,2021-06-18,11:00:00,2021-06-19,00:00:00,seoul,60.0,127.0,19.0
68,2021-06-18,11:00:00,2021-06-19,00:00:00,ulsan,102.0,84.0,21.0
69,2021-06-18,11:00:00,2021-06-19,03:00:00,busan,98.0,76.0,21.0
70,2021-06-18,11:00:00,2021-06-19,03:00:00,chungbuk,69.0,107.0,18.0
71,2021-06-18,11:00:00,2021-06-19,03:00:00,chungnam,68.0,100.0,19.0
72,2021-06-18,11:00:00,2021-06-19,03:00:00,daegu,89.0,90.0,20.0
73,2021-06-18,11:00:00,2021-06-19,03:00:00,daejeon,67.0,100.0,19.0
74,2021-06-18,11:00:00,2021-06-19,03:00:00,gangwon,73.0,134.0,18.0
75,2021-06-18,11:00:00,2021-06-19,03:00:00,gwangju,58.0,74.0,19.0
76,2021-06-18,11:00:00,2021-06-19,03:00:00,gyeongbuk,89.0,91.0,20.0
77,2021-06-18,11:00:00,2021-06-19,03:00:00,gyeonggi,60.0,120.0,18.0
78,2021-06-18,11:00:00,2021-06-19,03:00:00,gyeongnam,91.0,77.0,20.0
79,2021-06-18,11:00:00,2021-06-19,03:00:00,incheon,55.0,124.0,18.0
80,2021-06-18,11:00:00,2021-06-19,03:00:00,jeju,52.0,38.0,20.0
81,2021-06-18,11:00:00,2021-06-19,03:00:00,jeonbuk,63.0,89.0,19.0
82,2021-06-18,11:00:00,2021-06-19,03:00:00,jeonnam,51.0,67.0,19.0
83,2021-06-18,11:00:00,2021-06-19,03:00:00,sejong,66.0,103.0,18.0
84,2021-06-18,11:00:00,2021-06-19,03:00:00,seoul,60.0,127.0,19.0
85,2021-06-18,11:00:00,2021-06-19,03:00:00,ulsan,102.0,84.0,19.0
86,2021-06-18,11:00:00,2021-06-19,06:00:00,busan,98.0,76.0,20.0
87,2021-06-18,11:00:00,2021-06-19,06:00:00,chungbuk,69.0,107.0,18.0
88,2021-06-18,11:00:00,2021-06-19,06:00:00,chungnam,68.0,100.0,18.0
89,2021-06-18,11:00:00,2021-06-19,06:00:00,daegu,89.0,90.0,19.0
90,2021-06-18,11:00:00,2021-06-19,06:00:00,daejeon,67.0,100.0,19.0
91,2021-06-18,11:00:00,2021-06-19,06:00:00,gangwon,73.0,134.0,18.0
92,2021-06-18,11:00:00,2021-06-19,06:00:00,gwangju,58.0,74.0,19.0
93,2021-06-18,11:00:00,2021-06-19,06:00:00,gyeongbuk,89.0,91.0,19.0
94,2021-06-18,11:00:00,2021-06-19,06:00:00,gyeonggi,60.0,120.0,18.0
95,2021-06-18,11:00:00,2021-06-19,06:00:00,gyeongnam,91.0,77.0,19.0
96,2021-06-18,11:00:00,2021-06-19,06:00:00,incheon,55.0,124.0,17.0
97,2021-06-18,11:00:00,2021-06-19,06:00:00,jeju,52.0,38.0,19.0
98,2021-06-18,11:00:00,2021-06-19,06:00:00,jeonbuk,63.0,89.0,19.0
99,2021-06-18,11:00:00,2021-06-19,06:00:00,jeonnam,51.0,67.0,19.0
100,2021-06-18,11:00:00,2021-06-19,06:00:00,sejong,66.0,103.0,18.0
101,2021-06-18,11:00:00,2021-06-19,06:00:00,seoul,60.0,127.0,18.0
102,2021-06-18,11:00:00,2021-06-19,06:00:00,ulsan,102.0,84.0,19.0
103,2021-06-18,11:00:00,2021-06-19,09:00:00,busan,98.0,76.0,24.0
104,2021-06-18,11:00:00,2021-06-19,09:00:00,chungbuk,69.0,107.0,20.0
105,2021-06-18,11:00:00,2021-06-19,09:00:00,chungnam,68.0,100.0,21.0
106,2021-06-18,11:00:00,2021-06-19,09:00:00,daegu,89.0,90.0,22.0
107,2021-06-18,11:00:00,2021-06-19,09:00:00,daejeon,67.0,100.0,21.0
108,2021-06-18,11:00:00,2021-06-19,09:00:00,gangwon,73.0,134.0,19.0
109,2021-06-18,11:00:00,2021-06-19,09:00:00,gwangju,58.0,74.0,22.0
110,2021-06-18,11:00:00,2021-06-19,09:00:00,gyeongbuk,89.0,91.0,22.0
111,2021-06-18,11:00:00,2021-06-19,09:00:00,gyeonggi,60.0,120.0,20.0
112,2021-06-18,11:00:00,2021-06-19,09:00:00,gyeongnam,91.0,77.0,24.0
113,2021-06-18,11:00:00,2021-06-19,09:00:00,incheon,55.0,124.0,20.0
114,2021-06-18,11:00:00,2021-06-19,09:00:00,jeju,52.0,38.0,22.0
115,2021-06-18,11:00:00,2021-06-19,09:00:00,jeonbuk,63.0,89.0,21.0
116,2021-06-18,11:00:00,2021-06-19,09:00:00,jeonnam,51.0,67.0,22.0
117,2021-06-18,11:00:00,2021-06-19,09:00:00,sejong,66.0,103.0,21.0
118,2021-06-18,11:00:00,2021-06-19,09:00:00,seoul,60.0,127.0,20.0
119,2021-06-18,11:00:00,2021-06-19,09:00:00,ulsan,102.0,84.0,24.0
120,2021-06-18,11:00:00,2021-06-19,12:00:00,busan,98.0,76.0,27.0
121,2021-06-18,11:00:00,2021-06-19,12:00:00,chungbuk,69.0,107.0,25.0
122,2021-06-18,11:00:00,2021-06-19,12:00:00,chungnam,68.0,100.0,25.0
123,2021-06-18,11:00:00,2021-06-19,12:00:00,daegu,89.0,90.0,27.0
124,2021-06-18,11:00:00,2021-06-19,12:00:00,daejeon,67.0,100.0,25.0
125,2021-06-18,11:00:00,2021-06-19,12:00:00,gangwon,73.0,134.0,24.0
126,2021-06-18,11:00:00,2021-06-19,12:00:00,gwangju,58.0,74.0,27.0
127,2021-06-18,11:00:00,2021-06-19,12:00:00,gyeongbuk,89.0,91.0,27.0
128,2021-06-18,11:00:00,2021-06-19,12:00:00,gyeonggi,60.0,120.0,25.0
129,2021-06-18,11:00:00,2021-06-19,12:00:00,gyeongnam,91.0,77.0,27.0
130,2021-06-18,11:00:00,2021-06-19,12:00:00,incheon,55.0,124.0,24.0
131,2021-06-18,11:00:00,2021-06-19,12:00:00,jeju,52.0,38.0,23.0
132,2021-06-18,11:00:00,2021-06-19,12:00:00,jeonbuk,63.0,89.0,25.0
133,2021-06-18,11:00:00,2021-06-19,12:00:00,jeonnam,51.0,67.0,25.0
134,2021-06-18,11:00:00,2021-06-19,12:00:00,sejong,66.0,103.0,25.0
135,2021-06-18,11:00:00,2021-06-19,12:00:00,seoul,60.0,127.0,25.0
136,2021-06-18,11:00:00,2021-06-19,12:00:00,ulsan,102.0,84.0,27.0
137,2021-06-18,11:00:00,2021-06-19,15:00:00,busan,98.0,76.0,26.0
138,2021-06-18,11:00:00,2021-06-19,15:00:00,chungbuk,69.0,107.0,27.0
139,2021-06-18,11:00:00,2021-06-19,15:00:00,chungnam,68.0,100.0,28.0
140,2021-06-18,11:00:00,2021-06-19,15:00:00,daegu,89.0,90.0,29.0
141,2021-06-18,11:00:00,2021-06-19,15:00:00,daejeon,67.0,100.0,28.0
142,2021-06-18,11:00:00,2021-06-19,15:00:00,gangwon,73.0,134.0,28.0
143,2021-06-18,11:00:00,2021-06-19,15:00:00,gwangju,58.0,74.0,29.0
144,2021-06-18,11:00:00,2021-06-19,15:00:00,gyeongbuk,89.0,91.0,29.0
145,2021-06-18,11:00:00,2021-06-19,15:00:00,gyeonggi,60.0,120.0,27.0
146,2021-06-18,11:00:00,2021-06-19,15:00:00,gyeongnam,91.0,77.0,29.0
147,2021-06-18,11:00:00,2021-06-19,15:00:00,incheon,55.0,124.0,25.0
148,2021-06-18,11:00:00,2021-06-19,15:00:00,jeju,52.0,38.0,23.0
149,2021-06-18,11:00:00,2021-06-19,15:00:00,jeonbuk,63.0,89.0,27.0
150,2021-06-18,11:00:00,2021-06-19,15:00:00,jeonnam,51.0,67.0,26.0
151,2021-06-18,11:00:00,2021-06-19,15:00:00,sejong,66.0,103.0,28.0
152,2021-06-18,11:00:00,2021-06-19,15:00:00,seoul,60.0,127.0,27.0
153,2021-06-18,11:00:00,2021-06-19,15:00:00,ulsan,102.0,84.0,27.0
154,2021-06-18,11:00:00,2021-06-19,18:00:00,busan,98.0,76.0,24.0
155,2021-06-18,11:00:00,2021-06-19,18:00:00,chungbuk,69.0,107.0,26.0
156,2021-06-18,11:00:00,2021-06-19,18:00:00,chungnam,68.0,100.0,27.0
157,2021-06-18,11:00:00,2021-06-19,18:00:00,daegu,89.0,90.0,29.0
158,2021-06-18,11:00:00,2021-06-19,18:00:00,daejeon,67.0,100.0,27.0
159,2021-06-18,11:00:00,2021-06-19,18:00:00,gangwon,73.0,134.0,27.0
160,2021-06-18,11:00:00,2021-06-19,18:00:00,gwangju,58.0,74.0,28.0
161,2021-06-18,11:00:00,2021-06-19,18:00:00,gyeongbuk,89.0,91.0,29.0
162,2021-06-18,11:00:00,2021-06-19,18:00:00,gyeonggi,60.0,120.0,25.0
163,2021-06-18,11:00:00,2021-06-19,18:00:00,gyeongnam,91.0,77.0,27.0
164,2021-06-18,11:00:00,2021-06-19,18:00:00,incheon,55.0,124.0,23.0
165,2021-06-18,11:00:00,2021-06-19,18:00:00,jeonbuk,63.0,89.0,26.0
166,2021-06-18,11:00:00,2021-06-19,18:00:00,jeonnam,51.0,67.0,25.0
167,2021-06-18,11:00:00,2021-06-19,18:00:00,sejong,66.0,103.0,27.0
168,2021-06-18,11:00:00,2021-06-19,18:00:00,seoul,60.0,127.0,26.0
169,2021-06-18,11:00:00,2021-06-19,18:00:00,ulsan,102.0,84.0,25.0
