기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20200401000000,86991.4,58396.8,64600.0,28621.4,49.0119,7680.79,13.1528
20200401000500,87973.6,58321.4,64600.0,29702.5,50.929,9683.49,16.6037
20200401001000,87971.8,57506.6,64600.0,30483.7,53.009,10438.2,18.1513
20200401001500,87965.2,57355.7,64600.0,30672.8,53.4782,9963.15,17.3708
20200401002000,87948.3,57275.4,64800.0,30735.0,53.6618,9870.45,17.2333
20200401002500,87942.2,56880.1,64800.0,31122.8,54.7165,9832.39,17.2862
20200401003000,87947.1,56682.3,64800.0,31302.9,55.2251,9750.47,17.202
20200401003500,87938.5,56480.7,64800.0,31495.8,55.7638,9825.7,17.3966
20200401004000,87952.1,56397.0,64800.0,31606.3,56.0426,10196.9,18.0806
20200401004500,87954.7,56394.3,64800.0,31620.1,56.0697,10238.4,18.155
20200401005000,87942.6,56197.8,64800.0,31802.2,56.5898,10521.4,18.7221
20200401005500,87922.8,56440.5,64800.0,31498.8,55.8088,10214.6,18.098
20200401010000,87912.1,56203.1,64800.0,31749.7,56.4911,10090.7,17.9541
20200401010500,88168.0,56395.3,64800.0,31852.2,56.4803,10555.0,18.7161
20200401011000,88172.5,55598.5,64800.0,32591.9,58.6202,11450.8,20.5956
20200401011500,88177.3,55594.1,64800.0,32637.7,58.7072,11521.7,20.7247
20200401012000,88191.8,55570.1,64800.0,32648.5,58.7519,11572.5,20.825
20200401012500,89312.4,55639.9,64800.0,33726.9,60.6165,12209.8,21.9444
20200401013000,89307.0,55484.7,64800.0,33866.8,61.0382,12051.4,21.7202
20200401013500,89320.1,56180.7,64800.0,33190.4,59.078,11351.4,20.2051
20200401014000,89320.4,55966.5,64800.0,33400.3,59.6791,11502.6,20.5527
20200401014500,89331.3,56079.5,64800.0,33303.9,59.3869,11428.6,20.3793
20200401015000,89332.2,56265.9,64800.0,33105.3,58.8373,11231.1,19.9608
20200401015500,89339.6,56347.9,64800.0,33048.8,58.6513,11175.0,19.8322
20200401020000,91375.7,56218.3,64800.0,35177.4,62.5729,11344.6,20.1795
20200401020500,91453.0,56292.0,64800.0,35210.3,62.5493,11347.5,20.1583
