기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20210101000000,98798.8,66640.1,64900.0,32154.1,48.2503,8698.71,13.0533
20210101000500,98568.8,66154.8,64900.0,32361.9,48.9185,9027.93,13.6467
20210101001000,98568.2,65876.4,64900.0,32663.9,49.5837,9386.39,14.2485
20210101001500,98566.4,65518.8,64900.0,33052.4,50.4472,9467.19,14.4496
20210101002000,98498.0,65397.3,64900.0,33101.4,50.6158,9499.9,14.5264
20210101002500,98496.2,65334.4,64900.0,33149.7,50.7385,9852.39,15.0799
20210101003000,98477.6,65053.5,64900.0,33402.7,51.3465,10089.9,15.5101
20210101003500,98481.8,64724.6,64900.0,33860.2,52.3143,10286.1,15.8921
20210101004000,98490.1,64388.1,64900.0,34100.2,52.9604,10230.3,15.8885
20210101004500,98498.2,64283.9,64900.0,34199.5,53.2007,10294.9,16.0147
20210101005000,98510.5,64041.8,64900.0,34458.0,53.8054,10216.5,15.9528
20210101005500,98506.3,64005.6,64900.0,34510.7,53.9183,10432.7,16.2996
20210101010000,98510.4,63860.2,64900.0,34652.3,54.2627,10542.9,16.5093
20210101010500,98350.4,63777.3,64900.0,34745.1,54.4789,10498.4,16.461
20210101011000,98345.2,63362.7,64900.0,35003.2,55.2426,10253.9,16.1829
20210101011500,98344.9,63209.1,64900.0,35227.5,55.7317,10517.3,16.639
20210101012000,98318.4,62786.7,64900.0,35505.1,56.5488,10819.8,17.2327
20210101012500,98314.6,62818.2,64900.0,35456.7,56.4433,10425.5,16.5963
20210101013000,98327.3,62772.2,64900.0,35547.7,56.6297,10710.0,17.0617
20210101013500,98326.6,62209.9,64900.0,36121.2,58.0634,11099.4,17.8419
20210101014000,98335.5,62264.0,64900.0,36058.1,57.9116,10960.4,17.6031
20210101014500,98335.9,62053.0,64900.0,36260.4,58.4346,11069.0,17.838
20210101015000,98335.5,61844.6,64900.0,36487.5,58.9986,11155.8,18.0384
20210101015500,98335.3,61884.2,64900.0,36615.5,59.1678,10709.2,17.3053
20210101020000,98329.5,61541.5,64900.0,36775.7,59.7576,10725.1,17.4274
20210101020500,98096.9,61211.6,64900.0,36875.2,60.2422,10992.0,17.9574
20210101021000,98118.3,61390.0,64900.0,36744.3,59.8539,10787.8,17.5726
20210101021500,98117.6,61449.2,64900.0,36673.1,59.6803,10676.8,17.3751
20210101022000,98118.7,61157.8,64900.0,36931.2,60.3868,10866.6,17.7681
20210101022500,98123.9,61149.7,64900.0,36975.0,60.4664,10672.7,17.4534
20210101023000,98125.1,61069.7,64900.0,37053.6,60.6743,10696.8,17.5157
