기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20160401053500,87031.0,55361.4,64800.0,31669.6,57.2053,31126.6,56.2245
20160401054000,87031.0,55480.1,64800.0,31550.9,56.869,31007.9,55.8902
20160401054500,87031.0,55970.7,64800.0,31060.3,55.4939,30517.3,54.5237
20160401055000,87031.0,55863.4,64800.0,31167.6,55.7925,30624.6,54.8204
20160401055500,87031.0,56109.2,64800.0,30921.8,55.11,30378.8,54.1422
20160401060000,87031.0,55939.6,64800.0,31091.4,55.5803,30548.4,54.6096
20160401060500,87031.0,56313.0,64800.0,30718.0,54.5487,30175.0,53.5845
20160401061000,87031.0,56682.4,64800.0,30348.6,53.5416,29805.6,52.5836
20160401061500,87031.0,57199.5,64800.0,29831.5,52.1535,29288.5,51.2042
20160401062000,87031.0,57365.0,64800.0,29666.0,51.7143,29123.0,50.7678
20160401062500,87031.0,57382.2,64800.0,29648.8,51.6689,29105.8,50.7226
20160401063000,87031.0,57624.1,64800.0,29406.9,51.0322,28863.9,50.0899
20160401063500,87031.0,57869.7,64800.0,29161.3,50.3913,28618.3,49.453
20160401064000,87031.0,58212.8,64800.0,28818.2,49.5049,28275.2,48.5722
20160401064500,87031.0,58375.5,64800.0,28655.5,49.0881,28112.5,48.158
20160401065000,87031.0,58198.6,64800.0,28832.4,49.5414,28289.4,48.6084
20160401065500,87031.0,58550.7,64800.0,28480.3,48.642,27937.3,47.7146
20160401070000,87031.0,58870.9,64800.0,28160.1,47.8338,27617.1,46.9114
20160401070500,87031.0,59222.4,64800.0,27808.6,46.9561,27265.6,46.0392
20160401071000,87031.0,59269.8,64800.0,27761.2,46.8387,27218.2,45.9225
20160401071500,87031.0,59633.1,64800.0,27397.9,45.944,26854.9,45.0335
20160401072000,87031.0,59943.0,64800.0,27088.0,45.1896,26545.0,44.2837
20160401072500,87031.0,60210.7,64800.0,26820.3,44.5442,26277.3,43.6423
20160401073000,87607.0,59862.2,64800.0,27744.8,46.3477,27201.8,45.4406
20160401073500,87607.0,59723.3,64800.0,27883.7,46.6881,27340.7,45.7789
20160401074000,87607.0,60056.3,64800.0,27550.7,45.8747,27007.7,44.9706
20160401074500,87607.0,60304.5,64800.0,27302.5,45.2745,26759.5,44.3741
20160401075000,87607.0,60315.1,64800.0,27291.9,45.2489,26748.9,44.3486
20160401075500,87607.0,60371.5,64800.0,27235.5,45.1131,26692.5,44.2137
20160401080000,87607.0,60730.1,64800.0,26876.9,44.2563,26333.9,43.3622
20160401080500,87607.0,61241.4,64800.0,26365.6,43.052,25822.6,42.1654
20160401081000,87607.0,61618.3,64800.0,25988.7,42.177,25445.7,41.2958
20160401081500,87607.0,62138.1,64800.0,25468.9,40.9876,24925.9,40.1138
20160401082000,89666.0,62195.6,64800.0,27470.4,44.1677,26927.4,43.2946
20160401082500,89666.0,62600.2,64800.0,27065.8,43.2359,26522.8,42.3685
20160401083000,89666.0,62678.6,64800.0,26987.4,43.0568,26444.4,42.1905
20160401083500,89666.0,63139.9,64800.0,26526.1,42.0115,25983.1,41.1515
20160401084000,89666.0,63701.1,64800.0,25964.9,40.7604,25421.9,39.908
20160401084500,89666.0,63525.0,64800.0,26141.0,41.1507,25598.0,40.296
20160401085000,89666.0,63951.1,64800.0,25714.9,40.2102,25171.9,39.3612
20160401085500,89666.0,63486.0,64800.0,26180.0,41.2375,25637.0,40.3822
20160401090000,89666.0,63572.7,64800.0,26093.3,41.0448,25550.3,40.1906
20160401090500,89666.0,63406.7,64800.0,26259.3,41.414,25716.3,40.5576
20160401091000,89666.0,63306.9,64800.0,26359.1,41.6369,25816.1,40.7792
20160401091500,89666.0,63538.9,64800.0,26127.1,41.1199,25584.1,40.2653
20160401092000,89666.0,63295.7,64800.0,26370.3,41.662,25827.3,40.8041
20160401092500,89666.0,63259.3,64800.0,26406.7,41.7437,25863.7,40.8853
20160401093000,89666.0,63203.5,64800.0,26462.5,41.8686,25919.5,41.0095
20160401093500,89666.0,63332.8,64800.0,26333.2,41.5791,25790.2,40.7217
20160401094000,89666.0,63449.0,64800.0,26217.0,41.3197,25674.0,40.4639
20160401094500,89666.0,63423.0,64800.0,26243.0,41.3778,25700.0,40.5216
20160401095000,89666.0,63293.4,64800.0,26372.6,41.6671,25829.6,40.8092
20160401095500,89666.0,63349.3,64800.0,26316.7,41.5423,25773.7,40.6851
20160401100000,89666.0,63033.8,64800.0,26632.2,42.2508,26089.2,41.3893
20160401100500,89666.0,62737.3,64800.0,26928.7,42.923,26385.7,42.0575
20160401101000,89666.0,62295.5,64800.0,27370.5,43.9366,26827.5,43.0649
20160401101500,89666.0,63069.5,64800.0,26596.5,42.1702,26053.5,41.3092
20160401102000,89666.0,63122.2,64800.0,26543.8,42.0514,26000.8,41.1911
20160401102500,89666.0,63356.1,63800.0,26309.9,41.527,25766.9,40.6699
20160401103000,89666.0,63109.4,63800.0,26556.6,42.0802,26013.6,41.2198
20160401103500,89666.0,62793.4,63800.0,26872.6,42.7953,26329.6,41.9306
20160401104000,89666.0,62829.3,63800.0,26836.7,42.7136,26293.7,41.8493
20160401104500,89666.0,63178.7,63800.0,26487.3,41.9244,25944.3,41.0649
20160401105000,89666.0,63097.5,63800.0,26568.5,42.1071,26025.5,41.2465
20160401105500,89666.0,62957.6,63800.0,26708.4,42.4229,26165.4,41.5604
20160401110000,89666.0,62805.2,63800.0,26860.8,42.7685,26317.8,41.9039
20160401110500,89666.0,62893.1,63800.0,26772.9,42.5688,26229.9,41.7054
20160401111000,89666.0,62694.4,63800.0,26971.6,43.0208,26428.6,42.1547
20160401111500,89666.0,62984.8,63800.0,26681.2,42.3612,26138.2,41.4991
20160401112000,89666.0,62810.6,63800.0,26855.4,42.7562,26312.4,41.8917
20160401112500,89666.0,62704.7,63800.0,26961.3,42.9973,26418.3,42.1314
20160401113000,89666.0,62312.9,63800.0,27353.1,43.8963,26810.1,43.0249
20160401113500,89666.0,62300.6,63800.0,27365.4,43.9247,26822.4,43.0531
20160401114000,89666.0,61846.1,63800.0,27819.9,44.9825,27276.9,44.1046
20160401114500,89666.0,61899.2,63800.0,27766.8,44.8581,27223.8,43.9809
20160401115000,89666.0,61664.2,63800.0,28001.8,45.4102,27458.8,44.5296
20160401115500,89666.0,60883.4,63800.0,28782.6,47.2749,28239.6,46.3831
20160401120000,89666.0,59743.6,63800.0,29922.4,50.0847,29379.4,49.1758
20160401120500,89666.0,59275.0,63800.0,30391.0,51.2712,29848.0,50.3551
20160401121000,89666.0,58856.8,63800.0,30809.2,52.346,30266.2,51.4234
20160401121500,89666.0,59265.9,63800.0,30400.1,51.2945,29857.1,50.3783
20160401122000,89666.0,59189.1,63800.0,30476.9,51.4907,29933.9,50.5733
20160401122500,89666.0,59242.6,63800.0,30423.4,51.354,29880.4,50.4374
20160401123000,89666.0,59355.7,63800.0,30310.3,51.0655,29767.3,50.1507
20160401123500,89666.0,59035.7,63800.0,30630.3,51.8843,30087.3,50.9645
20160401124000,89666.0,58817.2,63800.0,30848.8,52.4486,30305.8,51.5254
20160401124500,89666.0,58818.7,63800.0,30847.3,52.4448,30304.3,51.5216
20160401125000,89666.0,59014.9,63800.0,30651.0,51.9378,30108.0,51.0177
20160401125500,89666.0,59181.5,63800.0,30484.5,51.5103,29941.5,50.5928
20160401130000,89666.0,59247.6,63800.0,30418.4,51.3411,29875.4,50.4246
20160401130500,89666.0,59889.4,63800.0,29776.6,49.7193,29233.6,48.8126
20160401131000,89666.0,60024.7,63800.0,29641.3,49.3819,29098.3,48.4773
20160401131500,89666.0,60239.1,63800.0,29426.9,48.8501,28883.9,47.9487
20160401132000,89666.0,60662.2,63800.0,29003.8,47.8121,28460.8,46.917
20160401132500,89666.0,60760.1,63800.0,28905.9,47.5739,28362.9,46.6802
20160401133000,89666.0,60878.2,63800.0,28787.8,47.2876,28244.8,46.3957
20160401133500,89666.0,61594.1,63800.0,28071.9,45.5756,27528.9,44.694
20160401134000,89666.0,61314.4,63800.0,28351.6,46.2396,27808.6,45.354
20160401134500,89666.0,61860.6,63800.0,27805.4,44.9485,27262.4,44.0707
20160401135000,89666.0,61618.1,63800.0,28047.9,45.5188,27504.9,44.6376
20160401135500,89666.0,61665.6,63800.0,28000.4,45.4069,27457.4,44.5263
20160401140000,89666.0,61777.8,63800.0,27888.2,45.1427,27345.2,44.2637
20160401140500,89666.0,62008.7,63800.0,27657.3,44.6023,27114.3,43.7266
20160401141000,89666.0,62057.9,63800.0,27608.1,44.4876,27065.1,43.6126
20160401141500,89666.0,61817.9,63800.0,27848.1,45.0485,27305.1,44.1701
20160401142000,89666.0,61842.1,63800.0,27823.9,44.9919,27280.9,44.1138
20160401142500,89222.0,61884.8,63800.0,27337.2,44.1744,26794.2,43.297
20160401143000,89222.0,61691.9,63800.0,27530.1,44.6251,26987.1,43.7449
20160401143500,89222.0,61781.7,63800.0,27440.3,44.415,26897.3,43.5361
20160401144000,89222.0,61784.6,63800.0,27437.4,44.4081,26894.4,43.5292
