기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20170701000000,88297.0,58859.4,75000.0,29437.6,50.0135,26401.6,44.8554
20170701000500,88297.0,58516.7,75000.0,29780.3,50.8919,26744.3,45.7037
20170701001000,86438.0,58198.8,75000.0,28239.2,48.522,25203.2,43.3054
20170701001500,86438.0,57713.0,75000.0,28725.0,49.7721,25689.0,44.5116
20170701002000,86438.0,57609.0,75000.0,28829.0,50.0425,25793.0,44.7725
20170701002500,86438.0,57273.1,75000.0,29164.9,50.9226,26128.9,45.6217
20170701003000,86438.0,57122.1,75000.0,29315.9,51.3214,26279.9,46.0064
20170701003500,86438.0,56865.9,64200.0,29572.1,52.0033,26536.1,46.6644
20170701004000,86438.0,56471.3,64200.0,29966.7,53.0654,26930.7,47.6893
20170701004500,86438.0,56003.7,64200.0,30434.3,54.3434,27398.3,48.9223
20170701005000,86438.0,55795.6,64200.0,30642.4,54.919,27606.4,49.4777
20170701005500,86438.0,55925.7,64200.0,30512.3,54.5586,27476.3,49.1299
20170701010000,86438.0,55727.5,64200.0,30710.5,55.1084,27674.5,49.6604
20170701010500,86438.0,55511.0,64200.0,30927.0,55.7132,27891.0,50.244
20170701011000,86438.0,55289.4,64200.0,31148.6,56.3374,28112.6,50.8463
20170701011500,86438.0,55127.1,64200.0,31310.9,56.7975,28274.9,51.2903
20170701012000,86438.0,55135.2,64200.0,31302.8,56.7746,28266.8,51.2682
20170701012500,86438.0,54780.0,64200.0,31658.0,57.7911,28622.0,52.2489
20170701013000,86438.0,54817.6,64200.0,31620.4,57.6829,28584.4,52.1446
20170701013500,86438.0,54473.6,64200.0,31964.4,58.6786,28928.4,53.1053
20170701014000,86438.0,54289.2,64200.0,32148.8,59.2177,29112.8,53.6254
20170701014500,86438.0,54397.3,64200.0,32040.7,58.9013,29004.7,53.3202
20170701015000,86438.0,54531.5,64200.0,31906.5,58.5102,28870.5,52.9428
