base_date,base_time,target_date,city,city_code,temp_min,temp_max
2021-07-19,06:00:00,2021-07-26,daejeon,11C20401,24.0,33.0
2021-07-19,06:00:00,2021-07-26,gangwon,11D10301,23.0,34.0
2021-07-19,06:00:00,2021-07-26,gwangju,11F20501,25.0,33.0
2021-07-19,06:00:00,2021-07-26,gyeongbuk,11H10701,24.0,33.0
2021-07-19,06:00:00,2021-07-26,gyeonggi,11B20601,24.0,34.0
2021-07-19,06:00:00,2021-07-26,gyeongnam,11H20301,24.0,32.0
2021-07-19,06:00:00,2021-07-26,incheon,11B20201,25.0,32.0
2021-07-19,06:00:00,2021-07-26,jeju,11G00201,26.0,32.0
2021-07-19,06:00:00,2021-07-26,jeonbuk,11F10201,24.0,33.0
2021-07-19,06:00:00,2021-07-26,jeonnam,21F20804,24.0,31.0
2021-07-19,06:00:00,2021-07-26,sejong,11C20404,23.0,33.0
2021-07-19,06:00:00,2021-07-26,seoul,11B10101,25.0,33.0
2021-07-19,06:00:00,2021-07-26,ulsan,11H20101,23.0,31.0
2021-07-19,06:00:00,2021-07-27,busan,11H20201,24.0,30.0
2021-07-19,06:00:00,2021-07-27,chungbuk,11C10301,24.0,32.0
2021-07-19,06:00:00,2021-07-27,chungnam,11C20401,24.0,33.0
2021-07-19,06:00:00,2021-07-27,daegu,11H10701,24.0,33.0
2021-07-19,06:00:00,2021-07-27,daejeon,11C20401,24.0,33.0
2021-07-19,06:00:00,2021-07-27,gangwon,11D10301,23.0,34.0
2021-07-19,06:00:00,2021-07-27,gwangju,11F20501,25.0,32.0
2021-07-19,06:00:00,2021-07-27,gyeongbuk,11H10701,24.0,33.0
2021-07-19,06:00:00,2021-07-27,gyeonggi,11B20601,24.0,33.0
2021-07-19,06:00:00,2021-07-27,gyeongnam,11H20301,24.0,32.0
2021-07-19,06:00:00,2021-07-27,incheon,11B20201,24.0,32.0
2021-07-19,06:00:00,2021-07-27,jeju,11G00201,26.0,32.0
2021-07-19,06:00:00,2021-07-27,jeonbuk,11F10201,24.0,33.0
2021-07-19,06:00:00,2021-07-27,jeonnam,21F20804,24.0,31.0
2021-07-19,06:00:00,2021-07-27,sejong,11C20404,23.0,33.0
2021-07-19,06:00:00,2021-07-27,seoul,11B10101,24.0,33.0
2021-07-19,06:00:00,2021-07-27,ulsan,11H20101,23.0,30.0
2021-07-19,06:00:00,2021-07-28,busan,11H20201,24.0,30.0
2021-07-19,06:00:00,2021-07-28,chungbuk,11C10301,24.0,32.0
2021-07-19,06:00:00,2021-07-28,chungnam,11C20401,24.0,32.0
2021-07-19,06:00:00,2021-07-28,daegu,11H10701,24.0,32.0
2021-07-19,06:00:00,2021-07-28,daejeon,11C20401,24.0,32.0
2021-07-19,06:00:00,2021-07-28,gangwon,11D10301,24.0,33.0
2021-07-19,06:00:00,2021-07-28,gwangju,11F20501,24.0,32.0
2021-07-19,06:00:00,2021-07-28,gyeongbuk,11H10701,24.0,32.0
2021-07-19,06:00:00,2021-07-28,gyeonggi,11B20601,24.0,33.0
2021-07-19,06:00:00,2021-07-28,gyeongnam,11H20301,25.0,32.0
2021-07-19,06:00:00,2021-07-28,incheon,11B20201,24.0,31.0
2021-07-19,06:00:00,2021-07-28,jeju,11G00201,26.0,32.0
2021-07-19,06:00:00,2021-07-28,jeonbuk,11F10201,24.0,32.0
2021-07-19,06:00:00,2021-07-28,jeonnam,21F20804,24.0,30.0
2021-07-19,06:00:00,2021-07-28,sejong,11C20404,23.0,32.0
2021-07-19,06:00:00,2021-07-28,seoul,11B10101,25.0,33.0
2021-07-19,06:00:00,2021-07-28,ulsan,11H20101,24.0,30.0
2021-07-19,06:00:00,2021-07-29,busan,11H20201,24.0,30.0
2021-07-19,06:00:00,2021-07-29,chungbuk,11C10301,24.0,32.0
2021-07-19,06:00:00,2021-07-29,chungnam,11C20401,24.0,32.0
2021-07-19,06:00:00,2021-07-29,daegu,11H10701,24.0,34.0
2021-07-19,06:00:00,2021-07-29,daejeon,11C20401,24.0,32.0
2021-07-19,06:00:00,2021-07-29,gangwon,11D10301,24.0,33.0
2021-07-19,06:00:00,2021-07-29,gwangju,11F20501,24.0,32.0
2021-07-19,06:00:00,2021-07-29,gyeongbuk,11H10701,24.0,34.0
2021-07-19,06:00:00,2021-07-29,gyeonggi,11B20601,24.0,33.0
2021-07-19,06:00:00,2021-07-29,gyeongnam,11H20301,24.0,31.0
2021-07-19,06:00:00,2021-07-29,incheon,11B20201,24.0,31.0
2021-07-19,06:00:00,2021-07-29,jeju,11G00201,26.0,32.0
2021-07-19,06:00:00,2021-07-29,jeonbuk,11F10201,24.0,32.0
2021-07-19,06:00:00,2021-07-29,jeonnam,21F20804,25.0,31.0
2021-07-19,06:00:00,2021-07-29,sejong,11C20404,23.0,32.0
2021-07-19,06:00:00,2021-07-29,seoul,11B10101,25.0,33.0
2021-07-19,06:00:00,2021-07-29,ulsan,11H20101,24.0,31.0
