id,cdate,nuclear,bituminous,anthracite,oil,lng,amniotic,others,total
1,2015-01-01,20715.683,26111.004,1125,4099.5,29279.95,4700,0.3,94284.941
2,2015-02-01,21715.683,26111.004,1125,4099.5,29565.35,4700,0.3,95586.882
3,2015-03-01,21715.683,26111.004,1125,4099.5,29565.35,4700,0.3,95640.938
4,2015-04-01,21715.683,26111.004,1125,4099.5,29565.35,4700,0.3,95926.764
5,2015-05-01,21715.683,26111.004,1125,4099.5,29565.35,4700,0.3,96129.023
6,2015-06-01,21715.683,26111.004,1125,4099.5,30046.39,4700,0.3,96698.871
7,2015-07-01,21715.683,27128.854,1125,4099.5,30046.39,4700,2.75,97785.316
8,2015-08-01,21715.683,27128.854,1125,4099.5,30046.39,4700,2.75,97945.327
9,2015-09-01,21715.683,27128.854,1125,4099.5,30046.39,4700,2.75,97960.944
10,2015-10-01,21715.683,27280.354,1125,4099.5,30482.49,4700,6.92,98564.2
11,2015-11-01,21715.683,27431.854,1125,4099.5,30482.49,4700,6.92,98748.914
12,2015-12-01,21715.683,27431.854,1125,4099.5,30482.49,4700,10.62,98812.211
13,2016-01-01,23115.683,27431.854,1125,4015.5,30428.99,4700,40.12,100133.018
14,2016-02-01,23115.683,27826.824,1125,4015.5,30428.99,4700,40.12,100537.991
15,2016-03-01,23115.683,28761.824,1125,4015.5,30428.99,4700,40.12,101492.694
16,2016-04-01,23115.683,29691.924,1125,4015.5,30428.99,4700,40.12,102459.5
17,2016-05-01,23115.683,29691.924,1125,4015.5,30428.99,4700,40.12,101464.803
18,2016-06-01,23115.683,30741.924,1125,4015.5,30428.77,4700,57.16,102569.004
19,2016-07-01,23115.683,30652.024,1125,4015.5,30428.77,4700,57.16,102526.611
20,2016-08-01,23115.683,31674.024,1125,4015.5,30428.77,4700,57.16,103574.22
21,2016-09-01,23115.683,31674.024,1125,4015.5,30428.77,4700,57.16,103657.093
22,2016-10-01,23115.683,32629.024,1125,4015.5,31658.77,4700,57.16,105908.741
23,2016-11-01,23115.683,32629.024,1125,4015.5,31983.05,4700,57.16,106334.497
24,2016-12-01,23115.683,32629.024,1125,4015.5,33769.166,4700,57.16,108245.842
25,2017-01-01,23115.683,32718.924,1125,4015.5,34259.695,4700,65.86,108824.822
26,2017-02-01,23115.683,35745.924,1125,4013.5,34990.095,4700,65.86,112591.06
27,2017-03-01,23115.683,35745.924,1125,4013.5,34840.015,4700,63.41,112523.709
28,2017-04-01,23115.683,35774.424,1000,4013.5,34476.77,4700,63.41,112236.08
29,2017-05-01,23115.683,36459.324,1000,4013.5,34437.97,4700,63.41,112925.561
30,2017-06-01,22528.683,36430.313,1000,4013.5,34684.44,4700,63.41,112592.701
31,2017-07-01,22528.683,36430.313,600,4013.5,35402.596,4700,63.41,112947.754
32,2017-08-01,22528.683,36430.313,600,4013.5,35534.506,4700,63.41,113122.471
33,2017-09-01,22528.683,36401.302,600,4010.4,35642.416,4700,63.41,113303.62
34,2017-10-01,22528.683,36500.302,600,4010.4,35609.216,4700,63.41,113414.572
35,2017-11-01,22528.683,36500.302,600,4010.4,35609.216,4700,21.51,113460.845
36,2017-12-01,22528.683,36500.302,600,3950.4,35609.216,4700,81.51,113667.449
37,2018-01-01,22528.683,36500.302,600,3950.4,35129.216,4700,81.51,113288.256
38,2018-02-01,22528.683,36500.302,600,3950.4,35449.936,4700,81.51,113654.095
39,2018-03-01,22528.683,36500.302,600,3950.4,35610.906,4700,78.42,113855.497
40,2018-04-01,22528.683,36500.302,600,4044.123,35610.906,4700,76.7,113987.584
41,2018-05-01,22528.683,36670.202,600,4044.123,35610.906,4700,76.7,114228.398
42,2018-06-01,21850,36670.202,600,4137.846,35610.906,4700,76.7,113693.53
43,2018-07-01,21850,36763.237,600,4121.546,35610.906,4700,76.7,113871.711
44,2018-08-01,21850,36763.237,600,4121.546,35610.906,4700,76.7,113925.817
45,2018-09-01,21850,36763.237,600,4121.546,36510.906,4700,76.7,114970.475
46,2018-10-01,21850,36763.237,600,4121.546,36510.906,4700,76.7,115071.396
47,2018-11-01,21850,36763.237,600,4121.546,36960.906,4700,76.7,115596.147
48,2018-12-01,21850,36763.237,600,4121.546,36960.906,4700,76.7,115663.646
49,2019-01-01,21850,36856.277,600,4121.546,36960.906,4700,76.7,115817.271
50,2019-02-01,21850,36856.277,600,4121.546,37320.906,4700,76.7,116240.2
51,2019-03-01,21850,36856.277,600,3946.546,37320.906,4700,76.7,116292.826
52,2019-04-01,23250,36856.282,600,3946.546,37680.906,4700,81.49,118087.431
53,2019-05-01,23250,36856.282,600,3871.546,38261.306,4700,81.49,118717.971
54,2019-06-01,23250,36856.282,600,3871.546,38270.479,4700,81.49,118871.922
55,2019-07-01,23250,36856.282,600,3771.546,38553.379,4700,81.49,119331.297
56,2019-08-01,23250,36856.282,600,3771.546,38553.379,4700,81.49,119378.535
57,2019-09-01,23250,36856.282,600,3771.546,38553.179,4700,81.49,120765.188
58,2019-10-01,23250,36856.282,600,3771.546,38553.179,4700,4610.902,120811.584
59,2019-11-01,23250,36856.282,600,3771.546,38562.352,4700,4623.042,120898.594
60,2019-12-01,23250,36856.282,600,3687.19,38667.352,4700,4623.042,121123.554
61,2020-01-01,23250,36906.282,600,2024.1,40296.086,4700,4642.242,121283.513
62,2020-02-01,23250,36906.282,600,2024.1,40296.086,4700,4639.742,121421.006
63,2020-03-01,23250,36906.282,600,2024.1,40296.086,4700,4652.742,121494.825
64,2020-04-01,23250,36906.282,600,2024.1,40296.086,4700,4655.742,121578.564
65,2020-05-01,23250,36906.282,600,2072.614,40296.086,4700,4655.742,121793.169
66,2020-06-01,23250,36906.282,600,2121.128,40296.086,4700,4655.742,122185.169
67,2020-07-01,23250,36906.282,400,2121.128,40746.086,4700,4665.642,122718.416
68,2020-08-01,23250,36906.282,400,2121.128,40746.086,4700,4665.642,122743.813
69,2020-09-01,23250,36906.282,400,2170.345,40746.086,4700,4665.642,123027.325
70,2020-10-01,23250,36906.282,400,2082.345,40746.086,4700,4763.142,123175.898
71,2020-11-01,23250,37946.282,400,2082.345,40746.086,4700,4760.252,124359.095
72,2020-12-01,23250,37946.282,400,2082.345,40746.086,4700,4766.952,124524.522
73,2021-01-01,23250,37964.282,400,2082.345,40746.086,4700,4766.952,124648.119
74,2021-02-01,23250,37970.782,400,2082.345,40746.086,4700,4767.447,124781.955
75,2021-03-01,23250,37970.782,400,2082.345,40746.086,4700,4767.447,124865.772
76,2021-04-01,23250,37970.782,400,2082.345,41791.836,4700,4767.447,125964.104
77,2021-05-01,23250,37890.782,400,2082.345,41498.336,4700,4767.447,125653.388
