base_date,base_time,target_date,target_time,city,city_x,city_y,forecast_temp
2021-06-29,11:00:00,2021-07-01,06:00:00,chungbuk,69,107,20.0
2021-06-29,11:00:00,2021-07-01,06:00:00,chungnam,68,100,21.0
2021-06-29,11:00:00,2021-07-01,06:00:00,daegu,89,90,20.0
2021-06-29,11:00:00,2021-07-01,06:00:00,daejeon,67,100,21.0
2021-06-29,11:00:00,2021-07-01,06:00:00,gangwon,73,134,20.0
2021-06-29,11:00:00,2021-07-01,06:00:00,gwangju,58,74,21.0
2021-06-29,11:00:00,2021-07-01,06:00:00,gyeongbuk,89,91,20.0
2021-06-29,11:00:00,2021-07-01,06:00:00,gyeonggi,60,120,21.0
2021-06-29,11:00:00,2021-07-01,06:00:00,gyeongnam,91,77,21.0
2021-06-29,11:00:00,2021-07-01,06:00:00,incheon,55,124,21.0
2021-06-29,11:00:00,2021-07-01,06:00:00,jeju,52,38,22.0
2021-06-29,11:00:00,2021-07-01,06:00:00,jeonbuk,63,89,21.0
2021-06-29,11:00:00,2021-07-01,06:00:00,jeonnam,51,67,21.0
2021-06-29,11:00:00,2021-07-01,06:00:00,sejong,66,103,20.0
2021-06-29,11:00:00,2021-07-01,06:00:00,seoul,60,127,21.0
2021-06-29,11:00:00,2021-07-01,06:00:00,ulsan,102,84,21.0
2021-06-29,11:00:00,2021-07-01,09:00:00,busan,98,76,25.0
2021-06-29,11:00:00,2021-07-01,09:00:00,chungbuk,69,107,24.0
2021-06-29,11:00:00,2021-07-01,09:00:00,chungnam,68,100,24.0
2021-06-29,11:00:00,2021-07-01,09:00:00,daegu,89,90,24.0
2021-06-29,11:00:00,2021-07-01,09:00:00,daejeon,67,100,25.0
2021-06-29,11:00:00,2021-07-01,09:00:00,gangwon,73,134,23.0
2021-06-29,11:00:00,2021-07-01,09:00:00,gwangju,58,74,25.0
2021-06-29,11:00:00,2021-07-01,09:00:00,gyeongbuk,89,91,24.0
2021-06-29,11:00:00,2021-07-01,09:00:00,gyeonggi,60,120,25.0
