,base_date,base_time,target_date,target_time,city,city_x,city_y,forecast_temp
72,2021-06-25,17:00:00,2021-06-26,09:00:00,daejeon,67,100,
73,2021-06-25,17:00:00,2021-06-26,09:00:00,gangwon,73,134,
74,2021-06-25,17:00:00,2021-06-26,09:00:00,gwangju,58,74,
75,2021-06-25,17:00:00,2021-06-26,09:00:00,gyeongbuk,89,91,
76,2021-06-25,17:00:00,2021-06-26,09:00:00,gyeonggi,60,120,
77,2021-06-25,17:00:00,2021-06-26,09:00:00,gyeongnam,91,77,
78,2021-06-25,17:00:00,2021-06-26,09:00:00,incheon,55,124,
79,2021-06-25,17:00:00,2021-06-26,09:00:00,jeju,52,38,
80,2021-06-25,17:00:00,2021-06-26,09:00:00,jeonbuk,63,89,
81,2021-06-25,17:00:00,2021-06-26,09:00:00,jeonnam,51,67,
82,2021-06-25,17:00:00,2021-06-26,09:00:00,sejong,66,103,
83,2021-06-25,17:00:00,2021-06-26,09:00:00,seoul,60,127,
84,2021-06-25,17:00:00,2021-06-26,09:00:00,ulsan,102,84,
85,2021-06-25,17:00:00,2021-06-26,12:00:00,busan,98,76,
86,2021-06-25,17:00:00,2021-06-26,12:00:00,chungbuk,69,107,
87,2021-06-25,17:00:00,2021-06-26,12:00:00,chungnam,68,100,
88,2021-06-25,17:00:00,2021-06-26,12:00:00,daegu,89,90,
89,2021-06-25,17:00:00,2021-06-26,12:00:00,daejeon,67,100,
90,2021-06-25,17:00:00,2021-06-26,12:00:00,gangwon,73,134,
91,2021-06-25,17:00:00,2021-06-26,12:00:00,gwangju,58,74,
92,2021-06-25,17:00:00,2021-06-26,12:00:00,gyeongbuk,89,91,
93,2021-06-25,17:00:00,2021-06-26,12:00:00,gyeonggi,60,120,
94,2021-06-25,17:00:00,2021-06-26,12:00:00,gyeongnam,91,77,
95,2021-06-25,17:00:00,2021-06-26,12:00:00,incheon,55,124,
96,2021-06-25,17:00:00,2021-06-26,12:00:00,jeju,52,38,
97,2021-06-25,17:00:00,2021-06-26,12:00:00,jeonbuk,63,89,
