기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20200701000000,95359.9,54538.0,68400.0,40852.8,74.907,10729.2,19.6729
20200701000500,94863.3,54368.3,68400.0,40490.9,74.4751,10748.8,19.7704
20200701001000,94843.3,54151.0,68400.0,40621.1,75.0145,10656.3,19.6788
20200701001500,94819.5,53864.6,68400.0,40941.2,76.0076,10585.5,19.6521
20200701002000,94826.8,53710.4,68400.0,41135.2,76.587,10697.9,19.9178
20200701002500,94816.5,53198.0,67200.0,41585.9,78.1718,11050.1,20.7717
20200701003000,94822.1,52740.5,67200.0,42068.6,79.7654,11030.5,20.9146
20200701003500,94832.5,52769.5,67200.0,42082.3,79.7475,10825.4,20.5145
20200701004000,94850.4,52668.4,67200.0,42143.1,80.0158,10720.0,20.3538
20200701004500,94849.2,52610.2,67200.0,42272.9,80.3512,10748.0,20.4294
20200701005000,94853.2,52259.6,67200.0,42568.1,81.4551,10878.9,20.817
20200701005500,94871.9,52100.5,67200.0,42758.1,82.0683,10691.3,20.5204
20200701010000,94878.8,51840.7,67200.0,43042.4,83.0283,10831.6,20.8939
20200701010500,94905.2,51847.2,67200.0,43080.2,83.0908,10796.4,20.8236
20200701011000,94943.3,51863.2,67200.0,43063.8,83.0334,10779.0,20.7835
20200701011500,94960.5,51678.3,67200.0,43286.8,83.762,10875.7,21.0451
20200701012000,94982.4,51770.4,67200.0,43201.6,83.4486,10777.8,20.8185
20200701012500,94989.2,51653.0,67200.0,43332.5,83.8915,10792.7,20.8947
20200701013000,94986.9,51345.9,67200.0,43635.8,84.984,11024.9,21.4718
20200701013500,94975.9,51068.7,67200.0,43923.2,86.008,10889.5,21.3232
20200701014000,94983.3,51132.1,67200.0,43861.6,85.781,10675.0,20.8773
20200701014500,95001.6,51140.1,67200.0,43834.9,85.7154,10489.8,20.5118
20200701015000,94999.6,51589.4,67200.0,43389.7,84.1058,10046.5,19.474
20200701015500,94984.3,51404.8,67200.0,43578.4,84.775,10157.8,19.7604
20200701020000,94987.9,51107.1,67200.0,43871.9,85.8429,10435.3,20.4184
20200701020500,95005.8,51136.7,67200.0,43909.7,85.8673,10433.4,20.403
20200701021000,94976.1,51298.2,67200.0,43692.4,85.1734,10260.6,20.0018
20200701021500,94940.9,51209.7,67200.0,43712.9,85.3607,10313.2,20.1392
20200701022000,94907.6,51067.5,67200.0,43840.4,85.8481,10409.5,20.3838
20200701022500,94903.4,51006.9,67200.0,43865.0,85.9983,10457.5,20.5021
20200701023000,94902.3,50883.0,67200.0,44006.6,86.4859,10588.3,20.809
20200701023500,94899.6,50908.3,67200.0,43963.7,86.3586,10546.8,20.7173
20200701024000,94925.4,50858.8,67200.0,44056.0,86.6241,10621.4,20.884
20200701024500,94903.0,50653.6,67200.0,44245.1,87.3484,10787.1,21.2959
20200701025000,94893.8,50497.0,67200.0,44404.1,87.9342,10941.9,21.6684
20200701025500,94899.2,50608.2,67200.0,44252.2,87.4408,10785.9,21.3125
20200701030000,94832.2,50582.7,67200.0,44268.2,87.5165,10801.3,21.3537
20200701030500,94861.2,50779.3,67200.0,44118.8,86.8834,10456.8,20.5927
20200701031000,94864.1,50718.1,67200.0,44139.2,87.0284,10705.9,21.1086
20200701031500,94867.1,50783.8,67200.0,44075.0,86.7896,10633.9,20.9396
20200701032000,94867.7,50769.0,67200.0,44064.5,86.7941,10640.9,20.9595
20200701032500,94873.6,50745.9,67200.0,44151.5,87.0052,10697.6,21.0807
20200701033000,94849.1,50868.4,67200.0,43991.9,86.4817,10587.7,20.8139
20200701033500,94852.3,50816.6,67200.0,44044.8,86.674,10612.7,20.8843
20200701034000,94852.8,50703.4,67200.0,44132.6,87.0408,10689.1,21.0816
20200701034500,94859.0,50445.1,67200.0,44411.3,88.0389,10939.9,21.6868
20200701035000,94854.3,50475.3,67200.0,44340.7,87.8462,10947.1,21.6881
20200701035500,94846.1,50638.5,67200.0,44208.3,87.3018,10727.4,21.1844
