base_date,base_time,target_date,target_time,city,city_x,city_y,forecast_temp
2021-07-19,14:00:00,2021-07-19,19:00:00,chungnam,68,100,29.0
2021-07-19,14:00:00,2021-07-19,19:00:00,daegu,89,90,28.0
2021-07-19,14:00:00,2021-07-19,19:00:00,daejeon,67,100,29.0
2021-07-19,14:00:00,2021-07-19,19:00:00,gangwon,73,134,29.0
2021-07-19,14:00:00,2021-07-19,19:00:00,gwangju,58,74,28.0
2021-07-19,14:00:00,2021-07-19,19:00:00,gyeongbuk,89,91,28.0
2021-07-19,14:00:00,2021-07-19,19:00:00,gyeonggi,60,120,29.0
2021-07-19,14:00:00,2021-07-19,19:00:00,gyeongnam,91,77,28.0
2021-07-19,14:00:00,2021-07-19,19:00:00,incheon,55,124,28.0
2021-07-19,14:00:00,2021-07-19,19:00:00,jeju,52,38,28.0
2021-07-19,14:00:00,2021-07-19,19:00:00,jeonbuk,63,89,28.0
2021-07-19,14:00:00,2021-07-19,19:00:00,jeonnam,51,67,28.0
2021-07-19,14:00:00,2021-07-19,19:00:00,sejong,66,103,29.0
2021-07-19,14:00:00,2021-07-19,19:00:00,seoul,60,127,29.0
2021-07-19,14:00:00,2021-07-19,19:00:00,ulsan,102,84,28.0
2021-07-19,14:00:00,2021-07-19,20:00:00,busan,98,76,26.0
2021-07-19,14:00:00,2021-07-19,20:00:00,chungbuk,69,107,27.0
2021-07-19,14:00:00,2021-07-19,20:00:00,chungnam,68,100,28.0
2021-07-19,14:00:00,2021-07-19,20:00:00,daegu,89,90,27.0
2021-07-19,14:00:00,2021-07-19,20:00:00,daejeon,67,100,28.0
2021-07-19,14:00:00,2021-07-19,20:00:00,gangwon,73,134,28.0
2021-07-19,14:00:00,2021-07-19,20:00:00,gwangju,58,74,27.0
2021-07-19,14:00:00,2021-07-19,20:00:00,gyeongbuk,89,91,27.0
2021-07-19,14:00:00,2021-07-19,20:00:00,gyeonggi,60,120,29.0
2021-07-19,14:00:00,2021-07-19,20:00:00,gyeongnam,91,77,27.0
2021-07-19,14:00:00,2021-07-19,20:00:00,incheon,55,124,27.0
2021-07-19,14:00:00,2021-07-19,20:00:00,jeju,52,38,27.0
2021-07-19,14:00:00,2021-07-19,20:00:00,jeonbuk,63,89,27.0
2021-07-19,14:00:00,2021-07-19,20:00:00,jeonnam,51,67,27.0
2021-07-19,14:00:00,2021-07-19,20:00:00,sejong,66,103,27.0
2021-07-19,14:00:00,2021-07-19,20:00:00,seoul,60,127,28.0
2021-07-19,14:00:00,2021-07-19,20:00:00,ulsan,102,84,27.0
2021-07-19,14:00:00,2021-07-19,21:00:00,busan,98,76,26.0
2021-07-19,14:00:00,2021-07-19,21:00:00,chungbuk,69,107,27.0
2021-07-19,14:00:00,2021-07-19,21:00:00,chungnam,68,100,27.0
2021-07-19,14:00:00,2021-07-19,21:00:00,daegu,89,90,27.0
2021-07-19,14:00:00,2021-07-19,21:00:00,daejeon,67,100,28.0
2021-07-19,14:00:00,2021-07-19,21:00:00,gangwon,73,134,27.0
2021-07-19,14:00:00,2021-07-19,21:00:00,gwangju,58,74,27.0
2021-07-19,14:00:00,2021-07-19,21:00:00,gyeongbuk,89,91,27.0
2021-07-19,14:00:00,2021-07-19,21:00:00,gyeonggi,60,120,28.0
2021-07-19,14:00:00,2021-07-19,21:00:00,gyeongnam,91,77,27.0
2021-07-19,14:00:00,2021-07-19,21:00:00,incheon,55,124,27.0
2021-07-19,14:00:00,2021-07-19,21:00:00,jeju,52,38,27.0
2021-07-19,14:00:00,2021-07-19,21:00:00,jeonbuk,63,89,27.0
2021-07-19,14:00:00,2021-07-19,21:00:00,jeonnam,51,67,26.0
2021-07-19,14:00:00,2021-07-19,21:00:00,sejong,66,103,27.0
2021-07-19,14:00:00,2021-07-19,21:00:00,seoul,60,127,28.0
2021-07-19,14:00:00,2021-07-19,21:00:00,ulsan,102,84,26.0
2021-07-19,14:00:00,2021-07-19,22:00:00,busan,98,76,26.0
2021-07-19,14:00:00,2021-07-19,22:00:00,chungbuk,69,107,26.0
2021-07-19,14:00:00,2021-07-19,22:00:00,chungnam,68,100,27.0
2021-07-19,14:00:00,2021-07-19,22:00:00,daegu,89,90,26.0
2021-07-19,14:00:00,2021-07-19,22:00:00,daejeon,67,100,27.0
2021-07-19,14:00:00,2021-07-19,22:00:00,gangwon,73,134,26.0
2021-07-19,14:00:00,2021-07-19,22:00:00,gwangju,58,74,26.0
2021-07-19,14:00:00,2021-07-19,22:00:00,gyeongbuk,89,91,26.0
2021-07-19,14:00:00,2021-07-19,22:00:00,gyeonggi,60,120,27.0
2021-07-19,14:00:00,2021-07-19,22:00:00,gyeongnam,91,77,26.0
2021-07-19,14:00:00,2021-07-19,22:00:00,incheon,55,124,26.0
2021-07-19,14:00:00,2021-07-19,22:00:00,jeju,52,38,27.0
2021-07-19,14:00:00,2021-07-19,22:00:00,jeonbuk,63,89,26.0
2021-07-19,14:00:00,2021-07-19,22:00:00,jeonnam,51,67,26.0
2021-07-19,14:00:00,2021-07-19,22:00:00,sejong,66,103,26.0
2021-07-19,14:00:00,2021-07-19,22:00:00,seoul,60,127,28.0
2021-07-19,14:00:00,2021-07-19,22:00:00,ulsan,102,84,26.0
2021-07-19,14:00:00,2021-07-19,23:00:00,busan,98,76,26.0
2021-07-19,14:00:00,2021-07-19,23:00:00,chungbuk,69,107,26.0
2021-07-19,14:00:00,2021-07-19,23:00:00,chungnam,68,100,27.0
2021-07-19,14:00:00,2021-07-19,23:00:00,daegu,89,90,26.0
2021-07-19,14:00:00,2021-07-19,23:00:00,daejeon,67,100,27.0
2021-07-19,14:00:00,2021-07-19,23:00:00,gangwon,73,134,26.0
2021-07-19,14:00:00,2021-07-19,23:00:00,gwangju,58,74,26.0
2021-07-19,14:00:00,2021-07-19,23:00:00,gyeongbuk,89,91,26.0
2021-07-19,14:00:00,2021-07-19,23:00:00,gyeonggi,60,120,27.0
2021-07-19,14:00:00,2021-07-19,23:00:00,gyeongnam,91,77,26.0
2021-07-19,14:00:00,2021-07-19,23:00:00,incheon,55,124,26.0
2021-07-19,14:00:00,2021-07-19,23:00:00,jeju,52,38,27.0
2021-07-19,14:00:00,2021-07-19,23:00:00,jeonbuk,63,89,26.0
2021-07-19,14:00:00,2021-07-19,23:00:00,jeonnam,51,67,26.0
2021-07-19,14:00:00,2021-07-19,23:00:00,sejong,66,103,26.0
2021-07-19,14:00:00,2021-07-19,23:00:00,seoul,60,127,27.0
2021-07-19,14:00:00,2021-07-19,23:00:00,ulsan,102,84,26.0
2021-07-19,14:00:00,2021-07-20,00:00:00,busan,98,76,26.0
2021-07-19,14:00:00,2021-07-20,00:00:00,chungbuk,69,107,26.0
2021-07-19,14:00:00,2021-07-20,00:00:00,chungnam,68,100,26.0
2021-07-19,14:00:00,2021-07-20,00:00:00,daegu,89,90,25.0
2021-07-19,14:00:00,2021-07-20,00:00:00,daejeon,67,100,27.0
2021-07-19,14:00:00,2021-07-20,00:00:00,gangwon,73,134,25.0
2021-07-19,14:00:00,2021-07-20,00:00:00,gwangju,58,74,26.0
2021-07-19,14:00:00,2021-07-20,00:00:00,gyeongbuk,89,91,25.0
2021-07-19,14:00:00,2021-07-20,00:00:00,gyeonggi,60,120,27.0
2021-07-19,14:00:00,2021-07-20,00:00:00,gyeongnam,91,77,26.0
2021-07-19,14:00:00,2021-07-20,00:00:00,incheon,55,124,26.0
2021-07-19,14:00:00,2021-07-20,00:00:00,jeju,52,38,26.0
2021-07-19,14:00:00,2021-07-20,00:00:00,jeonbuk,63,89,26.0
2021-07-19,14:00:00,2021-07-20,00:00:00,jeonnam,51,67,25.0
2021-07-19,14:00:00,2021-07-20,00:00:00,sejong,66,103,26.0
2021-07-19,14:00:00,2021-07-20,00:00:00,seoul,60,127,27.0
2021-07-19,14:00:00,2021-07-20,00:00:00,ulsan,102,84,26.0
2021-07-19,14:00:00,2021-07-20,01:00:00,busan,98,76,26.0
2021-07-19,14:00:00,2021-07-20,01:00:00,chungbuk,69,107,25.0
2021-07-19,14:00:00,2021-07-20,01:00:00,chungnam,68,100,26.0
2021-07-19,14:00:00,2021-07-20,01:00:00,daegu,89,90,25.0
2021-07-19,14:00:00,2021-07-20,01:00:00,daejeon,67,100,26.0
2021-07-19,14:00:00,2021-07-20,01:00:00,gangwon,73,134,25.0
2021-07-19,14:00:00,2021-07-20,01:00:00,gwangju,58,74,25.0
2021-07-19,14:00:00,2021-07-20,01:00:00,gyeongbuk,89,91,25.0
2021-07-19,14:00:00,2021-07-20,01:00:00,gyeonggi,60,120,26.0
2021-07-19,14:00:00,2021-07-20,01:00:00,gyeongnam,91,77,26.0
2021-07-19,14:00:00,2021-07-20,01:00:00,incheon,55,124,25.0
2021-07-19,14:00:00,2021-07-20,01:00:00,jeju,52,38,26.0
2021-07-19,14:00:00,2021-07-20,01:00:00,jeonbuk,63,89,26.0
2021-07-19,14:00:00,2021-07-20,01:00:00,jeonnam,51,67,25.0
2021-07-19,14:00:00,2021-07-20,01:00:00,sejong,66,103,25.0
2021-07-19,14:00:00,2021-07-20,01:00:00,seoul,60,127,27.0
2021-07-19,14:00:00,2021-07-20,01:00:00,ulsan,102,84,25.0
2021-07-19,14:00:00,2021-07-20,02:00:00,busan,98,76,26.0
2021-07-19,14:00:00,2021-07-20,02:00:00,chungbuk,69,107,25.0
2021-07-19,14:00:00,2021-07-20,02:00:00,chungnam,68,100,26.0
2021-07-19,14:00:00,2021-07-20,02:00:00,daegu,89,90,25.0
2021-07-19,14:00:00,2021-07-20,02:00:00,daejeon,67,100,26.0
2021-07-19,14:00:00,2021-07-20,02:00:00,gangwon,73,134,25.0
2021-07-19,14:00:00,2021-07-20,02:00:00,gwangju,58,74,25.0
2021-07-19,14:00:00,2021-07-20,02:00:00,gyeongbuk,89,91,25.0
2021-07-19,14:00:00,2021-07-20,02:00:00,gyeonggi,60,120,26.0
2021-07-19,14:00:00,2021-07-20,02:00:00,gyeongnam,91,77,26.0
2021-07-19,14:00:00,2021-07-20,02:00:00,incheon,55,124,25.0
2021-07-19,14:00:00,2021-07-20,02:00:00,jeju,52,38,26.0
