기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20201001000000,82539.0,46592.3,51100.0,35935.1,77.1267,8880.86,19.0608
20201001000500,82340.2,46254.3,51100.0,36079.8,78.0032,9358.95,20.2337
20201001001000,82328.0,45939.3,51100.0,36380.5,79.1926,9628.82,20.9599
20201001001500,82298.7,45733.0,51100.0,36546.1,79.9118,9999.24,21.8644
20201001002000,82285.3,45542.3,51100.0,36745.1,80.6835,10240.4,22.4854
20201001002500,82290.2,45293.1,48200.0,36982.0,81.6503,10593.5,23.3887
20201001003000,82291.6,45034.8,48200.0,37246.5,82.7061,10843.9,24.0789
20201001003500,82310.2,44832.4,48200.0,37461.2,83.5583,11041.7,24.6289
20201001004000,82316.9,44659.1,48200.0,37648.2,84.3014,11184.5,25.0441
20201001004500,82313.5,44570.0,48200.0,37753.2,84.7053,11234.3,25.2059
20201001005000,82336.3,44416.1,48200.0,37919.8,85.374,11342.0,25.5357
20201001005500,82325.1,44063.1,48200.0,38246.9,86.8002,11626.4,26.3859
20201001010000,82328.6,43922.5,48200.0,38393.9,87.4128,11609.2,26.4312
20201001010500,82375.0,43821.3,48200.0,38535.9,87.9388,11684.6,26.6642
20201001011000,82367.7,43678.4,48200.0,38669.7,88.5328,11844.8,27.1182
20201001011500,82359.7,43452.6,48200.0,38892.4,89.5055,12030.4,27.6863
20201001012000,82361.0,43372.6,48200.0,38993.6,89.9039,12096.0,27.8886
20201001012500,82338.5,43345.9,48200.0,38999.9,89.9737,11868.6,27.3811
20201001013000,82344.1,43252.1,48200.0,39100.5,90.4015,11865.4,27.433
20201001013500,82349.4,42987.5,48200.0,39318.1,91.464,12045.5,28.0209
20201001014000,82353.2,42867.1,48200.0,39454.4,92.0389,12045.5,28.0996
20201001014500,82346.4,42730.7,48200.0,39590.3,92.6507,11781.1,27.5707
20201001015000,82361.0,42614.8,48200.0,39763.5,93.3092,11887.5,27.8953
20201001015500,82460.7,42628.2,48200.0,39812.2,93.3939,11965.1,28.0684
20201001020000,82506.1,42656.0,48200.0,39850.7,93.4235,12095.6,28.3562
20201001020500,82566.1,42618.8,48200.0,39930.7,93.6925,12052.8,28.2804
20201001021000,82553.4,42380.2,48200.0,40161.7,94.7652,11944.7,28.1846
20201001021500,83388.3,42612.1,48200.0,40807.9,95.7661,11924.8,27.9846
20201001022000,83399.3,42534.3,48200.0,40850.7,96.0418,11883.5,27.9386
20201001022500,83401.5,42413.4,48200.0,40991.0,96.6464,11836.8,27.9083
20201001023000,83401.1,42433.5,48200.0,40947.7,96.4985,11633.7,27.4163
20201001023500,83431.1,42461.7,48200.0,40960.6,96.4647,11602.8,27.3253
20201001024000,83449.9,42364.1,48200.0,41097.8,97.011,11726.2,27.6796
20201001024500,83457.8,42341.6,48200.0,41098.4,97.0639,11621.7,27.4475
20201001025000,83452.4,42203.1,48200.0,41261.2,97.7682,11738.7,27.8147
20201001025500,83455.8,42155.5,48200.0,41275.1,97.9113,11756.0,27.8871
20201001030000,83467.1,42159.7,48200.0,41300.6,97.9623,11786.0,27.9557
20201001030500,83529.0,42031.1,48200.0,41491.8,98.7169,11926.0,28.3743
20201001031000,83540.7,42118.2,48200.0,41442.4,98.3955,11839.2,28.1095
20201001031500,83544.1,41979.6,48200.0,41543.4,98.9611,11990.5,28.5628
20201001032000,83550.9,41965.8,48200.0,41596.8,99.1209,12034.0,28.6757
20201001032500,83556.0,41916.5,48200.0,41641.6,99.344,12095.1,28.8551
20201001033000,83560.6,41948.7,48200.0,41584.6,99.132,12053.0,28.7328
20201001033500,83554.2,41811.1,48200.0,41740.5,99.8313,12191.2,29.1579
20201001034000,83568.7,41841.4,48200.0,41712.7,99.6924,12182.1,29.1148
20201001034500,83552.9,41849.7,48200.0,41713.2,99.6739,12146.7,29.0245
20201001035000,83552.7,41782.8,48200.0,41765.8,99.9592,12200.6,29.2001
20201001035500,83568.8,41760.3,48200.0,41810.5,100.12,11882.3,28.4535
20201001040000,83562.8,41855.2,48200.0,41682.7,99.588,11760.0,28.097
20201001040500,83213.2,41987.1,48200.0,41202.8,98.132,11636.6,27.7148
20201001041000,83217.9,41859.0,48200.0,41351.4,98.7873,11789.2,28.164
20201001041500,83208.7,41935.2,48200.0,41276.4,98.4288,11720.5,27.9491
20201001042000,83209.7,41921.7,48200.0,41279.5,98.4679,11720.8,27.9589
20201001042500,83199.3,42035.8,48200.0,41150.8,97.8946,11597.1,27.5886
20201001043000,83186.8,41935.5,48200.0,41221.8,98.298,11735.9,27.9856
20201001043500,83198.7,41891.5,48200.0,41299.1,98.5859,11825.2,28.2281
20201001044000,83202.9,41977.9,48200.0,41226.4,98.2099,11761.6,28.0187
20201001044500,83195.6,41947.7,48200.0,41252.9,98.3436,11769.0,28.0565
20201001045000,83197.9,42129.4,48200.0,41068.1,97.481,11589.9,27.5102
20201001045500,83194.5,42279.4,48200.0,40890.7,96.7155,11423.0,27.0178
20201001050000,83189.8,42332.4,48200.0,40842.0,96.4793,11382.4,26.8882
20201001050500,83255.8,42298.9,48200.0,40940.8,96.7894,11442.4,27.0513
20201001051000,83243.6,42051.8,48200.0,41201.6,97.9782,11426.7,27.1729
20201001051500,83238.2,42314.4,48200.0,40924.4,96.7152,11413.9,26.9741
20201001052000,83242.6,42247.8,48200.0,41000.1,97.0467,11494.7,27.2077
20201001052500,83231.0,42351.0,48200.0,40929.3,96.6429,11352.7,26.8062
20201001053000,83225.6,42496.7,48200.0,40732.5,95.8486,11223.4,26.4101
20201001053500,83217.1,42751.0,48200.0,40456.8,94.6336,10945.9,25.6038
20201001054000,83208.2,42791.2,48200.0,40437.0,94.4984,10927.4,25.5365
20201001054500,83205.3,42861.9,48200.0,40438.4,94.346,10818.0,25.2391
20201001055000,83196.9,43119.4,48200.0,40104.5,93.008,10622.7,24.6355
20201001055500,83195.5,43171.9,48200.0,39997.1,92.6463,10523.0,24.3746
20201001060000,83189.6,43342.3,48200.0,39856.5,91.9574,10403.8,24.0038
20201001060500,83227.5,43481.7,48200.0,39714.6,91.3365,9431.14,21.6899
20201001061000,83224.1,43593.5,48200.0,39635.3,90.9202,9335.04,21.4139
20201001061500,83230.9,43620.5,48200.0,39603.8,90.7916,9315.4,21.3556
20201001062000,83231.6,43588.0,48200.0,39635.8,90.9329,9335.06,21.4166
20201001062500,83237.5,43878.1,48200.0,39590.3,90.2279,9050.83,20.6272
20201001063000,83185.6,43756.2,48200.0,39408.5,90.0638,9164.36,20.9442
20201001063500,83173.5,43941.6,48200.0,39205.7,89.2224,8953.5,20.3759
20201001064000,83171.7,44058.5,48200.0,39107.3,88.7622,8825.71,20.0318
20201001064500,83159.8,44010.4,48200.0,39143.2,88.9408,8901.17,20.2252
20201001065000,83152.2,43800.8,48200.0,39349.3,89.8369,8721.11,19.9108
20201001065500,83151.7,43830.3,48200.0,39323.6,89.7178,8861.81,20.2185
20201001070000,83155.0,43771.5,48200.0,39354.1,89.908,9062.41,20.7039
20201001070500,83120.7,43954.5,48200.0,39166.0,89.1057,8849.31,20.1329
20201001071000,83146.6,44041.2,48200.0,39095.0,88.7692,8766.31,19.9048
20201001071500,83156.8,44037.3,48200.0,39111.6,88.8149,8829.26,20.0495
20201001072000,83169.6,43942.3,48200.0,39215.6,89.2433,8895.22,20.243
20201001072500,83098.1,43845.2,48200.0,39227.9,89.4691,8984.17,20.4907
20201001073000,83106.9,43802.2,48200.0,39310.0,89.7443,9063.36,20.6916
20201001073500,83180.8,43684.1,48200.0,39496.8,90.4146,9162.86,20.9753
20201001074000,83183.8,43450.0,48200.0,39733.9,91.4473,9439.01,21.7238
20201001074500,83177.4,43357.0,48200.0,39830.2,91.8656,9537.39,21.9973
20201001075000,83188.8,43280.4,48200.0,39894.0,92.1757,9653.16,22.3038
20201001075500,83203.5,43160.2,48200.0,40020.1,92.7245,9787.47,22.6771
20201001080000,83194.4,43105.8,48200.0,40085.6,92.9935,9862.23,22.8791
20201001080500,82978.8,43025.5,48200.0,39951.2,92.8546,9852.2,22.8985
20201001081000,83108.4,42759.1,48200.0,40304.5,94.2596,10209.6,23.8771
20201001081500,83211.0,42693.3,48200.0,40490.3,94.84,10402.3,24.3652
20201001082000,83321.1,42721.2,48200.0,40577.7,94.9827,10488.5,24.551
20201001082500,83328.2,42815.7,48200.0,40528.7,94.6585,10495.2,24.5125
20201001083000,83286.3,42767.3,48200.0,40497.5,94.6927,10355.5,24.2136
20201001083500,83293.3,42683.0,48200.0,40605.8,95.1334,10455.4,24.4955
20201001084000,83308.6,42504.4,48200.0,40802.4,95.9957,10556.5,24.8363
20201001084500,83324.9,42717.5,48200.0,40568.3,94.9688,10309.0,24.133
20201001085000,83265.5,42620.4,48200.0,40610.0,95.2829,10229.0,24.0002
20201001085500,83264.5,42410.0,48200.0,40845.7,96.3113,10341.4,24.3843
20201001090000,83269.6,42061.8,48200.0,41208.7,97.9718,10463.6,24.8768
20201001090500,83274.1,42038.6,48200.0,41249.2,98.1221,10257.3,24.3997
20201001091000,83458.7,42229.2,48200.0,41229.5,97.6326,10111.8,23.945
20201001091500,83596.3,42259.8,48200.0,41325.8,97.79,10474.6,24.7862
20201001092000,83738.4,42226.2,48200.0,41505.8,98.2939,10632.0,25.1787
20201001092500,83744.1,42152.2,48200.0,41590.5,98.6675,10710.5,25.4092
20201001093000,83689.2,41873.5,48200.0,41782.8,99.7834,10915.6,26.0679
20201001093500,83668.8,41990.9,48200.0,41664.1,99.2217,10810.6,25.7451
20201001094000,83670.0,41846.2,48200.0,41853.8,100.018,10798.3,25.8048
20201001094500,83667.1,41580.2,48200.0,42087.1,101.219,11086.6,26.6632
20201001095000,83678.0,41850.9,48200.0,41818.1,99.9216,10479.4,25.0399
20201001095500,83677.5,41591.4,48200.0,42102.4,101.229,10533.4,25.3258
20201001100000,83686.6,41437.7,48200.0,42235.4,101.925,10410.4,25.1229
20201001100500,83560.1,41624.6,48200.0,41929.5,100.733,9972.44,23.9581
20201001101000,83670.8,41762.3,48200.0,42049.9,100.689,9748.68,23.3432
20201001101500,83667.3,41629.9,48200.0,42022.1,100.942,9995.89,24.0113
20201001102000,83757.7,41756.0,48200.0,41999.5,100.583,9948.16,23.8245
20201001102500,83723.2,41670.2,48200.0,42056.2,100.926,9994.46,23.9846
20201001103000,83714.7,41678.9,48200.0,42038.9,100.864,9826.77,23.5773
20201001103500,83731.9,41409.4,48200.0,42309.3,102.173,9990.67,24.1266
20201001104000,83740.0,41444.7,48200.0,42309.5,102.087,10003.2,24.1364
20201001104500,83760.2,41471.3,48200.0,42264.2,101.912,9941.14,23.9712
20201001105000,83777.3,41471.1,48200.0,42310.7,102.024,9982.8,24.0717
20201001105500,83762.0,41386.0,48200.0,42384.0,102.411,10070.5,24.333
20201001110000,83762.7,41179.0,48200.0,42576.0,103.393,10030.8,24.359
20201001110500,83320.9,41283.3,48200.0,42031.4,101.812,9849.31,23.8579
20201001111000,83261.1,41061.2,48200.0,42192.1,102.754,9957.34,24.25
20201001111500,83222.8,41179.8,48200.0,42028.7,102.062,9742.16,23.6576
20201001112000,83181.5,40874.0,48200.0,42307.9,103.508,9995.02,24.4532
20201001112500,83184.8,40778.5,48200.0,42387.9,103.947,10084.7,24.7304
20201001113000,83209.4,40798.2,48200.0,42428.8,103.997,10092.1,24.7366
20201001113500,83213.0,40756.3,48200.0,42451.2,104.159,10143.9,24.8891
20201001114000,83062.2,40727.3,48200.0,42330.5,103.936,10168.5,24.9673
