id,cdate,land_wa,jeju_wa
188,2015-07-07,83.2,130.93
189,2015-07-08,83.75,128.87
190,2015-07-09,82.19,129.85
191,2015-07-10,84.14,130.17
192,2015-07-11,80.05,129.73
193,2015-07-12,64.91,131.0
194,2015-07-13,75.11,131.27
195,2015-07-14,85.55,132.86
196,2015-07-15,84.64,133.18
197,2015-07-16,82.79,130.78
198,2015-07-17,84.55,131.34
199,2015-07-18,83.66,127.23
200,2015-07-19,71.48,126.75
201,2015-07-20,76.24,134.43
202,2015-07-21,83.63,131.2
203,2015-07-22,85.61,130.69
204,2015-07-23,86.03,129.95
205,2015-07-24,86.13,142.96
206,2015-07-25,80.99,130.58
207,2015-07-26,71.1,129.76
208,2015-07-27,79.2,142.02
209,2015-07-28,86.23,142.7
210,2015-07-29,86.11,141.58
211,2015-07-30,86.57,142.92
212,2015-07-31,86.74,141.16
213,2015-08-01,88.18,127.98
214,2015-08-02,76.08,134.15
215,2015-08-03,77.95,140.04
216,2015-08-04,79.48,137.08
217,2015-08-05,83.19,137.52
218,2015-08-06,86.94,142.08
219,2015-08-07,90.48,139.68
220,2015-08-08,90.59,138.95
221,2015-08-09,78.97,136.33
222,2015-08-10,84.23,135.74
223,2015-08-11,90.91,139.07
224,2015-08-12,90.86,140.5
225,2015-08-13,91.0,136.89
226,2015-08-14,89.6,135.96
227,2015-08-15,90.23,138.2
228,2015-08-16,89.0,137.52
229,2015-08-17,91.11,139.12
230,2015-08-18,91.42,122.97
231,2015-08-19,91.0,124.47
232,2015-08-20,91.35,135.64
233,2015-08-21,91.25,134.09
234,2015-08-22,92.04,141.41
235,2015-08-23,89.57,140.5
236,2015-08-24,89.49,136.06
237,2015-08-25,90.11,124.05
238,2015-08-26,89.91,123.28
239,2015-08-27,90.19,132.58
240,2015-08-28,89.63,124.24
241,2015-08-29,91.03,123.99
242,2015-08-30,87.91,124.74
243,2015-08-31,84.7,122.13
244,2015-09-01,95.36,111.69
245,2015-09-02,95.57,111.08
246,2015-09-03,95.84,110.09
247,2015-09-04,95.74,109.77
248,2015-09-05,97.19,114.79
249,2015-09-06,95.23,120.64
